timestamp,source,x,y,z,yaw,v_surge,v_sway,servo1,servo2,servo5
2026-09-08 04:11:27.109,dummy,0.0,0.0,1.0,53.1,0.0,0.0,,,
2026-09-08 04:11:27.161,dummy,0.035,0.046,1.002,53.1,0.0,0.0,,,
2026-09-08 04:11:27.213,dummy,0.069,0.092,1.003,53.1,0.0,0.0,,,
2026-09-08 04:11:27.264,dummy,0.103,0.137,1.005,53.1,0.0,0.0,,,
2026-09-08 04:11:27.316,dummy,0.137,0.183,1.007,53.0,0.0,0.0,,,
2026-09-08 04:11:27.368,dummy,0.171,0.228,1.009,53.0,0.0,0.0,,,
2026-09-08 04:11:27.419,dummy,0.205,0.273,1.01,52.9,0.0,0.0,,,
2026-09-08 04:11:27.471,dummy,0.239,0.318,1.012,52.9,0.0,0.0,,,
2026-09-08 04:11:27.523,dummy,0.273,0.363,1.014,52.8,0.0,0.0,,,
2026-09-08 04:11:27.574,dummy,0.307,0.408,1.015,52.7,0.0,0.0,,,
2026-09-08 04:11:27.626,dummy,0.341,0.452,1.017,52.6,0.0,0.0,,,
2026-09-08 04:11:27.684,dummy,0.379,0.502,1.019,52.5,0.0,0.0,,,
2026-09-08 04:11:27.736,dummy,0.413,0.546,1.021,52.3,0.0,0.0,,,
2026-09-08 04:11:27.788,dummy,0.447,0.589,1.022,52.2,0.0,0.0,,,
2026-09-08 04:11:27.840,dummy,0.481,0.633,1.024,52.0,0.0,0.0,,,
2026-09-08 04:11:27.892,dummy,0.515,0.676,1.026,51.9,0.0,0.0,,,
2026-09-08 04:11:27.944,dummy,0.548,0.718,1.028,51.7,0.0,0.0,,,
2026-09-08 04:11:28.057,dummy,0.622,0.811,1.031,51.2,0.0,0.0,,,
2026-09-08 04:11:28.108,dummy,0.655,0.852,1.033,51.0,0.0,0.0,,,
2026-09-08 04:11:28.162,dummy,0.689,0.895,1.035,50.8,0.0,0.0,,,
2026-09-08 04:11:28.213,dummy,0.722,0.935,1.036,50.5,0.0,0.0,,,
2026-09-08 04:11:28.264,dummy,0.755,0.974,1.038,50.3,0.0,0.0,,,
2026-09-08 04:11:28.316,dummy,0.788,1.014,1.04,50.0,0.0,0.0,,,
2026-09-08 04:11:28.368,dummy,0.821,1.053,1.041,49.7,0.0,0.0,,,
2026-09-08 04:11:28.420,dummy,0.854,1.091,1.043,49.4,0.0,0.0,,,
2026-09-08 04:11:28.472,dummy,0.887,1.129,1.045,49.0,0.0,0.0,,,
2026-09-08 04:11:28.524,dummy,0.919,1.167,1.047,48.7,0.0,0.0,,,
2026-09-08 04:11:28.575,dummy,0.952,1.203,1.048,48.3,0.0,0.0,,,
2026-09-08 04:11:28.627,dummy,0.984,1.24,1.05,47.9,0.0,0.0,,,
2026-09-08 04:11:28.679,dummy,1.016,1.275,1.052,47.5,0.0,0.0,,,
2026-09-08 04:11:28.732,dummy,1.048,1.31,1.053,47.1,0.0,0.0,,,
2026-09-08 04:11:28.784,dummy,1.081,1.345,1.055,46.6,0.0,0.0,,,
2026-09-08 04:11:28.836,dummy,1.113,1.378,1.057,46.1,0.0,0.0,,,
2026-09-08 04:11:28.888,dummy,1.145,1.411,1.058,45.6,0.0,0.0,,,
2026-09-08 04:11:28.939,dummy,1.176,1.442,1.06,45.1,0.0,0.0,,,
2026-09-08 04:11:28.990,dummy,1.207,1.473,1.062,44.6,0.0,0.0,,,
2026-09-08 04:11:29.042,dummy,1.238,1.504,1.063,44.0,0.0,0.0,,,
2026-09-08 04:11:29.093,dummy,1.269,1.533,1.065,43.4,0.0,0.0,,,
2026-09-08 04:11:29.144,dummy,1.299,1.562,1.067,42.7,0.0,0.0,,,
2026-09-08 04:11:29.196,dummy,1.33,1.589,1.068,42.1,0.0,0.0,,,
2026-09-08 04:11:29.248,dummy,1.361,1.617,1.07,41.4,0.0,0.0,,,
2026-09-08 04:11:29.300,dummy,1.391,1.643,1.072,40.6,0.0,0.0,,,
2026-09-08 04:11:29.351,dummy,1.421,1.669,1.073,39.8,0.0,0.0,,,
2026-09-08 04:11:29.402,dummy,1.451,1.693,1.075,39.0,0.0,0.0,,,
2026-09-08 04:11:29.454,dummy,1.48,1.717,1.077,38.2,0.0,0.0,,,
2026-09-08 04:11:29.506,dummy,1.51,1.74,1.078,37.3,0.0,0.0,,,
2026-09-08 04:11:29.557,dummy,1.539,1.762,1.08,36.3,0.0,0.0,,,
2026-09-08 04:11:29.609,dummy,1.569,1.783,1.081,35.3,0.0,0.0,,,
2026-09-08 04:11:29.661,dummy,1.598,1.803,1.083,34.3,0.0,0.0,,,
2026-09-08 04:11:29.713,dummy,1.627,1.822,1.085,33.2,0.0,0.0,,,
2026-09-08 04:11:29.765,dummy,1.655,1.841,1.086,32.0,0.0,0.0,,,
2026-09-08 04:11:29.816,dummy,1.683,1.858,1.088,30.8,0.0,0.0,,,
2026-09-08 04:11:29.868,dummy,1.712,1.874,1.09,29.5,0.0,0.0,,,
2026-09-08 04:11:29.919,dummy,1.739,1.89,1.091,28.2,0.0,0.0,,,
2026-09-08 04:11:29.971,dummy,1.767,1.904,1.093,26.8,0.0,0.0,,,
2026-09-08 04:11:30.023,dummy,1.795,1.918,1.095,25.3,0.0,0.0,,,
2026-09-08 04:11:30.074,dummy,1.822,1.93,1.096,23.8,0.0,0.0,,,
2026-09-08 04:11:30.126,dummy,1.849,1.941,1.098,22.2,0.0,0.0,,,
2026-09-08 04:11:30.177,dummy,1.875,1.952,1.099,20.5,0.0,0.0,,,
2026-09-08 04:11:30.229,dummy,1.902,1.961,1.101,18.7,0.0,0.0,,,
2026-09-08 04:11:30.281,dummy,1.928,1.969,1.103,16.9,0.0,0.0,,,
2026-09-08 04:11:30.333,dummy,1.954,1.977,1.104,14.9,0.0,0.0,,,
2026-09-08 04:11:30.385,dummy,1.98,1.983,1.106,12.9,0.0,0.0,,,
2026-09-08 04:11:30.436,dummy,2.006,1.989,1.107,10.8,0.0,0.0,,,
2026-09-08 04:11:30.488,dummy,2.031,1.993,1.109,8.6,0.0,0.0,,,
2026-09-08 04:11:30.540,dummy,2.056,1.996,1.111,6.3,0.0,0.0,,,
2026-09-08 04:11:30.592,dummy,2.081,1.999,1.112,4.0,0.0,0.0,,,
